Map Name,Teleporter ID,Event Zone ID,New Map Name,New Map X,New Map Y,New Map Cell X,New Map Cell Y,New Direction,
src/gameFiles/MonkMountainBase.WORLD,0,-1,src/gameFiles/MonkMountainV2.WORLD,425,672,5,14,1,
src/gameFiles/MonkMountainBase.WORLD,1,-1,src/gameFiles/MonkMountainV2.WORLD,510,672,6,14,1,
src/gameFiles/MonkMountainBase.WORLD,2,-1,src/gameFiles/MonkMountainV2.WORLD,595,672,7,14,1,
src/gameFiles/MonkMountainBase.WORLD,3,-1,src/gameFiles/MonkMountainV2.WORLD,680,672,8,14,1,
src/gameFiles/MonkMountainBase.WORLD,4,-1,src/gameFiles/MonkMountainV2.WORLD,765,672,9,14,1,
src/gameFiles/MonkMountainV2.WORLD,0,-1,src/gameFiles/MonkMountainBase.WORLD,425,0,5,0,2,
src/gameFiles/MonkMountainV2.WORLD,1,-1,src/gameFiles/MonkMountainBase.WORLD,510,0,6,0,2,
src/gameFiles/MonkMountainV2.WORLD,2,-1,src/gameFiles/MonkMountainBase.WORLD,595,0,7,0,2,
src/gameFiles/MonkMountainV2.WORLD,3,-1,src/gameFiles/MonkMountainBase.WORLD,680,0,8,0,2,
src/gameFiles/MonkMountainV2.WORLD,4,-1,src/gameFiles/MonkMountainBase.WORLD,765,0,9,0,2,
